invoice_id,contract_id,account_id,invoice_date,period_month,amount
INV000035,C0004,A0083,2025-06-01,2025-06-01,6525.83
INV000036,C0004,A0083,2025-07-01,2025-07-01,6525.83
INV000037,C0004,A0083,2025-08-01,2025-08-01,6525.83
INV000038,C0004,A0083,2025-09-01,2025-09-01,6525.83
INV000039,C0004,A0083,2025-10-01,2025-10-01,6525.83
INV000040,C0004,A0083,2025-11-01,2025-11-01,6525.83
INV000041,C0004,A0083,2025-12-01,2025-12-01,6525.83
INV000042,C0004,A0083,2026-01-01,2026-01-01,6525.83
INV000043,C0005,A0083,2026-01-01,2026-01-01,6525.83
INV000044,C0005,A0083,2026-02-01,2026-02-01,6525.83
INV000045,C0005,A0083,2026-03-01,2026-03-01,6525.83
INV000046,C0005,A0083,2026-04-01,2026-04-01,6525.83
INV000047,C0005,A0083,2026-05-01,2026-05-01,6525.83
INV000048,C0006,A0331,2026-02-01,2026-02-01,3290.83
INV000049,C0006,A0331,2026-03-01,2026-03-01,3290.83
INV000050,C0006,A0331,2026-04-01,2026-04-01,3290.83
INV000051,C0006,A0331,2026-05-01,2026-05-01,3290.83
INV000052,C0007,A0332,2024-12-01,2024-12-01,1236.08
INV000053,C0007,A0332,2025-01-01,2025-01-01,1236.08
INV000054,C0007,A0332,2025-02-01,2025-02-01,1236.08
INV000055,C0007,A0332,2025-03-01,2025-03-01,1236.08
INV000056,C0007,A0332,2025-04-01,2025-04-01,1236.08
INV000057,C0007,A0332,2025-05-01,2025-05-01,1236.08
INV000058,C0007,A0332,2025-06-01,2025-06-01,1236.08
INV000059,C0007,A0332,2025-07-01,2025-07-01,1236.08
INV000060,C0007,A0332,2025-08-01,2025-08-01,1236.08
INV000061,C0007,A0332,2025-09-01,2025-09-01,1236.08
INV000062,C0007,A0332,2025-10-01,2025-10-01,1236.08
INV000063,C0007,A0332,2025-11-01,2025-11-01,1236.08
INV000064,C0007,A0332,2025-12-01,2025-12-01,1236.08
INV000065,C0008,A0332,2025-12-01,2025-12-01,1854.12
INV000066,C0008,A0332,2026-01-01,2026-01-01,1854.12
INV000067,C0008,A0332,2026-02-01,2026-02-01,1854.12
INV000068,C0008,A0332,2026-03-01,2026-03-01,1854.12
INV000069,C0008,A0332,2026-04-01,2026-04-01,1854.12
INV000071,C0009,A0199,2026-02-01,2026-02-01,1084.42
INV000072,C0009,A0199,2026-03-01,2026-03-01,1084.42
INV000073,C0009,A0199,2026-04-01,2026-04-01,1084.42
INV000074,C0009,A0199,2026-05-01,2026-05-01,1084.42
INV000075,C0010,A0470,2025-12-01,2025-12-01,2243.5
INV000076,C0010,A0470,2026-01-01,2026-01-01,2243.5
INV000077,C0010,A0470,2026-02-01,2026-02-01,2243.5
INV000078,C0010,A0470,2026-03-01,2026-03-01,2243.5
INV000079,C0010,A0470,2026-04-01,2026-04-01,2243.5
INV000080,C0010,A0470,2026-05-01,2026-05-01,2243.5
INV000081,C0011,A0237,2025-09-01,2025-09-01,2607.08
INV000082,C0011,A0237,2025-10-01,2025-10-01,2607.08
INV000083,C0011,A0237,2025-11-01,2025-11-01,2607.08
INV000084,C0011,A0237,2025-12-01,2025-12-01,2607.08
INV000085,C0011,A0237,2026-01-01,2026-01-01,2607.08
INV000086,C0011,A0237,2026-02-01,2026-02-01,2607.08
INV000087,C0011,A0237,2026-03-01,2026-03-01,2607.08
INV000088,C0011,A0237,2026-04-01,2026-04-01,2607.08
INV000089,C0011,A0237,2026-05-01,2026-05-01,2607.08
INV000090,C0012,A0238,2025-05-01,2025-05-01,783.33
INV000091,C0012,A0238,2025-06-01,2025-06-01,783.33
INV000092,C0012,A0238,2025-07-01,2025-07-01,783.33
INV000093,C0012,A0238,2025-08-01,2025-08-01,783.33
INV000094,C0012,A0238,2025-09-01,2025-09-01,783.33
INV000095,C0012,A0238,2025-10-01,2025-10-01,783.33
INV000096,C0012,A0238,2025-11-01,2025-11-01,783.33
INV000097,C0012,A0238,2025-12-01,2025-12-01,783.33
INV000098,C0012,A0238,2026-01-01,2026-01-01,783.33
INV000099,C0012,A0238,2026-02-01,2026-02-01,783.33
INV000100,C0012,A0238,2026-03-01,2026-03-01,783.33
INV000101,C0012,A0238,2026-04-01,2026-04-01,783.33
INV000102,C0012,A0238,2026-05-01,2026-05-01,783.33
INV000103,C0013,A0371,2025-11-01,2025-11-01,1453.58
INV000104,C0013,A0371,2025-12-01,2025-12-01,1453.58
INV000105,C0013,A0371,2026-01-01,2026-01-01,1453.58
INV000106,C0013,A0371,2026-02-01,2026-02-01,1453.58
INV000107,C0013,A0371,2026-03-01,2026-03-01,1453.58
INV000108,C0013,A0371,2026-04-01,2026-04-01,1453.58
INV000109,C0013,A0371,2026-05-01,2026-05-01,1453.58
INV000110,C0014,A0263,2024-08-01,2024-08-01,1193.08
INV000111,C0014,A0263,2024-09-01,2024-09-01,1193.08
INV000112,C0014,A0263,2024-10-01,2024-10-01,1193.08
INV000113,C0014,A0263,2024-11-01,2024-11-01,1193.08
INV000114,C0014,A0263,2024-12-01,2024-12-01,1193.08
INV000115,C0014,A0263,2025-01-01,2025-01-01,1193.08
INV000116,C0014,A0263,2025-02-01,2025-02-01,1193.08
INV000117,C0014,A0263,2025-03-01,2025-03-01,1193.08
INV000118,C0014,A0263,2025-04-01,2025-04-01,1193.08
INV000119,C0014,A0263,2025-05-01,2025-05-01,1193.08
INV000120,C0014,A0263,2025-06-01,2025-06-01,1193.08
INV000121,C0014,A0263,2025-07-01,2025-07-01,1193.08
INV000122,C0014,A0263,2025-08-01,2025-08-01,1193.08
INV000123,C0015,A0046,2025-03-01,2025-03-01,454.08
INV000124,C0015,A0046,2025-04-01,2025-04-01,454.08
INV000125,C0015,A0046,2025-05-01,2025-05-01,454.08
INV000126,C0015,A0046,2025-06-01,2025-06-01,454.08
INV000127,C0015,A0046,2025-07-01,2025-07-01,454.08
INV000128,C0015,A0046,2025-08-01,2025-08-01,454.08
INV000129,C0015,A0046,2025-09-01,2025-09-01,454.08
INV000130,C0015,A0046,2025-10-01,2025-10-01,454.08
INV000131,C0015,A0046,2025-11-01,2025-11-01,454.08
INV000132,C0015,A0046,2025-12-01,2025-12-01,454.08
INV000133,C0015,A0046,2026-01-01,2026-01-01,454.08
INV000134,C0015,A0046,2026-02-01,2026-02-01,454.08
INV000135,C0015,A0046,2026-03-01,2026-03-01,454.08
INV000136,C0016,A0139,2025-06-01,2025-06-01,860.58
INV000137,C0016,A0139,2025-07-01,2025-07-01,860.58
INV000138,C0016,A0139,2025-08-01,2025-08-01,860.58
INV000139,C0016,A0139,2025-09-01,2025-09-01,860.58
INV000140,C0016,A0139,2025-10-01,2025-10-01,860.58
INV000141,C0016,A0139,2025-11-01,2025-11-01,860.58
INV000142,C0016,A0139,2025-12-01,2025-12-01,860.58
INV000143,C0016,A0139,2026-01-01,2026-01-01,860.58
INV000144,C0016,A0139,2026-02-01,2026-02-01,860.58
INV000145,C0016,A0139,2026-03-01,2026-03-01,860.58
INV000146,C0016,A0139,2026-04-01,2026-04-01,860.58
INV000147,C0016,A0139,2026-05-01,2026-05-01,860.58
INV000148,C0017,A0402,2024-07-01,2024-07-01,4943.58
INV000149,C0017,A0402,2024-08-01,2024-08-01,4943.58
INV000150,C0017,A0402,2024-09-01,2024-09-01,4943.58
INV000151,C0017,A0402,2024-10-01,2024-10-01,4943.58
INV000152,C0017,A0402,2024-11-01,2024-11-01,4943.58
INV000153,C0017,A0402,2024-12-01,2024-12-01,4943.58
INV000154,C0017,A0402,2025-01-01,2025-01-01,4943.58
INV000155,C0017,A0402,2025-02-01,2025-02-01,4943.58
INV000156,C0017,A0402,2025-03-01,2025-03-01,4943.58
INV000157,C0017,A0402,2025-04-01,2025-04-01,4943.58
INV000158,C0017,A0402,2025-05-01,2025-05-01,4943.58
INV000159,C0017,A0402,2025-06-01,2025-06-01,4943.58
INV000160,C0017,A0402,2025-07-01,2025-07-01,4943.58
INV000161,C0018,A0402,2025-07-01,2025-07-01,4943.58
INV000162,C0018,A0402,2025-08-01,2025-08-01,4943.58
INV000163,C0018,A0402,2025-09-01,2025-09-01,4943.58
INV000164,C0018,A0402,2025-10-01,2025-10-01,4943.58
INV000165,C0018,A0402,2025-11-01,2025-11-01,4943.58
INV000166,C0018,A0402,2025-12-01,2025-12-01,4943.58
INV000172,C0019,A0207,2025-05-01,2025-05-01,1605.58
INV000173,C0019,A0207,2025-06-01,2025-06-01,1605.58
INV000174,C0019,A0207,2025-07-01,2025-07-01,1605.58
INV000175,C0019,A0207,2025-08-01,2025-08-01,1605.58
INV000176,C0019,A0207,2025-09-01,2025-09-01,1605.58
INV000177,C0019,A0207,2025-10-01,2025-10-01,1605.58
INV000178,C0019,A0207,2025-11-01,2025-11-01,1605.58
INV000179,C0019,A0207,2025-12-01,2025-12-01,1605.58
INV000180,C0019,A0207,2026-01-01,2026-01-01,1605.58
INV000181,C0019,A0207,2026-02-01,2026-02-01,1605.58
INV000182,C0019,A0207,2026-03-01,2026-03-01,1605.58
INV000183,C0019,A0207,2026-04-01,2026-04-01,1605.58
INV000184,C0019,A0207,2026-05-01,2026-05-01,1605.58
INV000185,C0020,A0215,2025-07-01,2025-07-01,1068.42
INV000186,C0020,A0215,2025-08-01,2025-08-01,1068.42
INV000187,C0020,A0215,2025-09-01,2025-09-01,1068.42
INV000188,C0020,A0215,2025-10-01,2025-10-01,1068.42
INV000189,C0020,A0215,2025-11-01,2025-11-01,1068.42
INV000190,C0020,A0215,2025-12-01,2025-12-01,1068.42
INV000191,C0020,A0215,2026-01-01,2026-01-01,1068.42
INV000192,C0020,A0215,2026-02-01,2026-02-01,1068.42
INV000193,C0020,A0215,2026-03-01,2026-03-01,1068.42
INV000194,C0020,A0215,2026-04-01,2026-04-01,1068.42
INV000195,C0020,A0215,2026-05-01,2026-05-01,1068.42
INV000196,C0021,A0451,2024-07-01,2024-07-01,3628.58
INV000197,C0021,A0451,2024-08-01,2024-08-01,3628.58
INV000198,C0021,A0451,2024-09-01,2024-09-01,3628.58
INV000199,C0021,A0451,2024-10-01,2024-10-01,3628.58
INV000200,C0021,A0451,2024-11-01,2024-11-01,3628.58
INV000201,C0021,A0451,2024-12-01,2024-12-01,3628.58
INV000202,C0021,A0451,2025-01-01,2025-01-01,3628.58
INV000203,C0021,A0451,2025-02-01,2025-02-01,3628.58
INV000204,C0021,A0451,2025-03-01,2025-03-01,3628.58
INV000205,C0021,A0451,2025-04-01,2025-04-01,3628.58
INV000206,C0021,A0451,2025-05-01,2025-05-01,3628.58
INV000207,C0021,A0451,2025-06-01,2025-06-01,3628.58
INV000208,C0021,A0451,2025-07-01,2025-07-01,3628.58
INV000209,C0022,A0451,2025-07-01,2025-07-01,3084.3
INV000210,C0022,A0451,2025-08-01,2025-08-01,3084.3
INV000211,C0022,A0451,2025-09-01,2025-09-01,3084.3
INV000212,C0022,A0451,2025-10-01,2025-10-01,3084.3
INV000213,C0022,A0451,2025-11-01,2025-11-01,3084.3
INV000214,C0022,A0451,2025-12-01,2025-12-01,3084.3
INV000215,C0022,A0451,2026-01-01,2026-01-01,3084.3
INV000216,C0022,A0451,2026-02-01,2026-02-01,3084.3
INV000217,C0022,A0451,2026-03-01,2026-03-01,3084.3
INV000218,C0022,A0451,2026-04-01,2026-04-01,3084.3
INV000219,C0022,A0451,2026-05-01,2026-05-01,3084.3
INV000220,C0023,A0316,2025-04-01,2025-04-01,827.75
INV000221,C0023,A0316,2025-05-01,2025-05-01,827.75
INV000222,C0023,A0316,2025-06-01,2025-06-01,827.75
INV000223,C0023,A0316,2025-07-01,2025-07-01,827.75
INV000224,C0023,A0316,2025-08-01,2025-08-01,827.75
INV000225,C0023,A0316,2025-09-01,2025-09-01,827.75
INV000226,C0023,A0316,2025-10-01,2025-10-01,827.75
INV000227,C0023,A0316,2025-11-01,2025-11-01,827.75
INV000228,C0023,A0316,2025-12-01,2025-12-01,827.75
INV000229,C0023,A0316,2026-01-01,2026-01-01,827.75
INV000230,C0023,A0316,2026-02-01,2026-02-01,827.75
INV000231,C0023,A0316,2026-03-01,2026-03-01,827.75
INV000232,C0023,A0316,2026-04-01,2026-04-01,827.75
INV000233,C0023,A0316,2026-05-01,2026-05-01,827.75
INV000234,C0024,A0323,2024-09-01,2024-09-01,4161.08
INV000235,C0024,A0323,2024-10-01,2024-10-01,4161.08
INV000236,C0024,A0323,2024-11-01,2024-11-01,4161.08
INV000237,C0024,A0323,2024-12-01,2024-12-01,4161.08
INV000238,C0024,A0323,2025-01-01,2025-01-01,4161.08
INV000239,C0024,A0323,2025-02-01,2025-02-01,4161.08
INV000240,C0024,A0323,2025-03-01,2025-03-01,4161.08
INV000241,C0024,A0323,2025-04-01,2025-04-01,4161.08
INV000242,C0024,A0323,2025-05-01,2025-05-01,4161.08
INV000243,C0024,A0323,2025-06-01,2025-06-01,4161.08
INV000244,C0024,A0323,2025-07-01,2025-07-01,4161.08
INV000245,C0024,A0323,2025-08-01,2025-08-01,4161.08
INV000246,C0024,A0323,2025-09-01,2025-09-01,4161.08
INV000247,C0025,A0323,2025-09-01,2025-09-01,3536.92
INV000248,C0025,A0323,2025-10-01,2025-10-01,3536.92
INV000249,C0025,A0323,2025-11-01,2025-11-01,3536.92
INV000250,C0025,A0323,2025-12-01,2025-12-01,3536.92
INV000251,C0025,A0323,2026-01-01,2026-01-01,3536.92
INV000252,C0025,A0323,2026-02-01,2026-02-01,3536.92
INV000253,C0025,A0323,2026-03-01,2026-03-01,3536.92
INV000254,C0025,A0323,2026-04-01,2026-04-01,3536.92
INV000255,C0025,A0323,2026-05-01,2026-05-01,3536.92
INV000256,C0026,A0339,2024-10-01,2024-10-01,998.25
INV000257,C0026,A0339,2024-11-01,2024-11-01,998.25
INV000258,C0026,A0339,2024-12-01,2024-12-01,998.25
INV000259,C0026,A0339,2025-01-01,2025-01-01,998.25
INV000260,C0026,A0339,2025-02-01,2025-02-01,998.25
INV000261,C0026,A0339,2025-03-01,2025-03-01,998.25
INV000262,C0026,A0339,2025-04-01,2025-04-01,998.25
INV000263,C0026,A0339,2025-05-01,2025-05-01,998.25
INV000264,C0026,A0339,2025-06-01,2025-06-01,998.25
INV000265,C0026,A0339,2025-07-01,2025-07-01,998.25
INV000266,C0026,A0339,2025-08-01,2025-08-01,998.25
INV000267,C0026,A0339,2025-09-01,2025-09-01,998.25
INV000268,C0026,A0339,2025-10-01,2025-10-01,998.25
INV000269,C0027,A0339,2025-10-01,2025-10-01,998.25
INV000270,C0027,A0339,2025-11-01,2025-11-01,998.25
INV000271,C0027,A0339,2025-12-01,2025-12-01,998.25
INV000272,C0027,A0339,2026-01-01,2026-01-01,998.25
INV000273,C0027,A0339,2026-02-01,2026-02-01,998.25
INV000274,C0027,A0339,2026-03-01,2026-03-01,998.25
INV000275,C0027,A0339,2026-04-01,2026-04-01,998.25
INV000276,C0027,A0339,2026-05-01,2026-05-01,998.25
INV000277,C0028,A0440,2024-11-01,2024-11-01,1409.58
INV000278,C0028,A0440,2024-12-01,2024-12-01,1409.58
INV000279,C0028,A0440,2025-01-01,2025-01-01,1409.58
INV000280,C0028,A0440,2025-02-01,2025-02-01,1409.58
INV000281,C0028,A0440,2025-03-01,2025-03-01,1409.58
INV000282,C0028,A0440,2025-04-01,2025-04-01,1409.58
INV000283,C0028,A0440,2025-05-01,2025-05-01,1409.58
INV000284,C0028,A0440,2025-06-01,2025-06-01,1409.58
INV000285,C0028,A0440,2025-07-01,2025-07-01,1409.58
INV000286,C0028,A0440,2025-08-01,2025-08-01,1409.58
INV000287,C0028,A0440,2025-09-01,2025-09-01,1409.58
INV000288,C0028,A0440,2025-10-01,2025-10-01,1409.58
INV000289,C0028,A0440,2025-11-01,2025-11-01,1409.58
INV000290,C0029,A0440,2025-11-01,2025-11-01,1198.15
INV000291,C0029,A0440,2025-12-01,2025-12-01,1198.15
INV000292,C0029,A0440,2026-01-01,2026-01-01,1198.15
INV000293,C0029,A0440,2026-02-01,2026-02-01,1198.15
INV000294,C0029,A0440,2026-03-01,2026-03-01,1198.15
INV000295,C0029,A0440,2026-04-01,2026-04-01,1198.15
INV000296,C0029,A0440,2026-05-01,2026-05-01,1198.15
INV000297,C0030,A0166,2025-09-01,2025-09-01,796.42
INV000298,C0030,A0166,2025-10-01,2025-10-01,796.42
INV000299,C0030,A0166,2025-11-01,2025-11-01,796.42
INV000300,C0030,A0166,2025-12-01,2025-12-01,796.42
INV000301,C0030,A0166,2026-01-01,2026-01-01,796.42
INV000302,C0030,A0166,2026-02-01,2026-02-01,796.42
INV000303,C0030,A0166,2026-03-01,2026-03-01,796.42
INV000304,C0030,A0166,2026-04-01,2026-04-01,796.42
INV000305,C0030,A0166,2026-05-01,2026-05-01,796.42
INV000306,C0031,A0045,2026-05-01,2026-05-01,1097.17
INV000307,C0032,A0359,2024-12-01,2024-12-01,1401.83
INV000308,C0032,A0359,2025-01-01,2025-01-01,1401.83
INV000309,C0032,A0359,2025-02-01,2025-02-01,1401.83
INV000310,C0032,A0359,2025-03-01,2025-03-01,1401.83
INV000311,C0032,A0359,2025-04-01,2025-04-01,1401.83
INV000312,C0032,A0359,2025-05-01,2025-05-01,1401.83
INV000313,C0032,A0359,2025-06-01,2025-06-01,1401.83
INV000314,C0032,A0359,2025-07-01,2025-07-01,1401.83
INV000315,C0032,A0359,2025-08-01,2025-08-01,1401.83
INV000316,C0032,A0359,2025-09-01,2025-09-01,1401.83
INV000317,C0032,A0359,2025-10-01,2025-10-01,1401.83
INV000318,C0032,A0359,2025-11-01,2025-11-01,1401.83
INV000319,C0032,A0359,2025-12-01,2025-12-01,1401.83
INV000320,C0032,A0359,2026-01-01,2026-01-01,1401.83
INV000321,C0032,A0359,2026-02-01,2026-02-01,1401.83
INV000322,C0032,A0359,2026-03-01,2026-03-01,1401.83
INV000323,C0032,A0359,2026-04-01,2026-04-01,1401.83
INV000324,C0032,A0359,2026-05-01,2026-05-01,1401.83
INV000325,C0033,A0359,2026-04-01,2026-04-01,563.75
INV000326,C0033,A0359,2026-05-01,2026-05-01,563.75
INV000327,C0034,A0482,2026-03-01,2026-03-01,818.25
INV000328,C0034,A0482,2026-04-01,2026-04-01,818.25
INV000329,C0034,A0482,2026-05-01,2026-05-01,818.25
INV000330,C0035,A0468,2025-06-01,2025-06-01,1280.33
INV000331,C0035,A0468,2025-07-01,2025-07-01,1280.33
INV000332,C0035,A0468,2025-08-01,2025-08-01,1280.33
INV000333,C0035,A0468,2025-09-01,2025-09-01,1280.33
INV000334,C0035,A0468,2025-10-01,2025-10-01,1280.33
INV000335,C0035,A0468,2025-11-01,2025-11-01,1280.33
INV000336,C0035,A0468,2025-12-01,2025-12-01,1280.33
INV000337,C0035,A0468,2026-01-01,2026-01-01,1280.33
INV000338,C0035,A0468,2026-02-01,2026-02-01,1280.33
INV000339,C0035,A0468,2026-03-01,2026-03-01,1280.33
INV000340,C0035,A0468,2026-04-01,2026-04-01,1280.33
INV000341,C0035,A0468,2026-05-01,2026-05-01,1280.33
INV000342,C0036,A0089,2025-05-01,2025-05-01,18517.5
INV000343,C0036,A0089,2025-06-01,2025-06-01,18517.5
INV000344,C0036,A0089,2025-07-01,2025-07-01,18517.5
INV000345,C0036,A0089,2025-08-01,2025-08-01,18517.5
INV000346,C0036,A0089,2025-09-01,2025-09-01,18517.5
INV000347,C0036,A0089,2025-10-01,2025-10-01,18517.5
INV000348,C0036,A0089,2025-11-01,2025-11-01,18517.5
INV000349,C0036,A0089,2025-12-01,2025-12-01,18517.5
INV000350,C0036,A0089,2026-01-01,2026-01-01,18517.5
INV000351,C0036,A0089,2026-02-01,2026-02-01,18517.5
INV000352,C0036,A0089,2026-03-01,2026-03-01,18517.5
INV000353,C0036,A0089,2026-04-01,2026-04-01,18517.5
INV000355,C0037,A0378,2025-03-01,2025-03-01,1162.92
INV000356,C0037,A0378,2025-04-01,2025-04-01,1162.92
INV000357,C0037,A0378,2025-05-01,2025-05-01,1162.92
INV000358,C0037,A0378,2025-06-01,2025-06-01,1162.92
INV000359,C0037,A0378,2025-07-01,2025-07-01,1162.92
INV000360,C0037,A0378,2025-08-01,2025-08-01,1162.92
INV000361,C0037,A0378,2025-09-01,2025-09-01,1162.92
INV000362,C0037,A0378,2025-10-01,2025-10-01,1162.92
INV000363,C0037,A0378,2025-11-01,2025-11-01,1162.92
INV000364,C0037,A0378,2025-12-01,2025-12-01,1162.92
INV000365,C0037,A0378,2026-01-01,2026-01-01,1162.92
INV000366,C0037,A0378,2026-02-01,2026-02-01,1162.92
INV000367,C0037,A0378,2026-03-01,2026-03-01,1162.92
INV000368,C0038,A0378,2026-03-01,2026-03-01,1744.38
INV000369,C0038,A0378,2026-04-01,2026-04-01,1744.38
INV000370,C0038,A0378,2026-05-01,2026-05-01,1744.38
INV000371,C0039,A0166,2026-03-01,2026-03-01,1385.58
INV000372,C0039,A0166,2026-04-01,2026-04-01,1385.58
INV000373,C0039,A0166,2026-05-01,2026-05-01,1385.58
INV000374,C0040,A0080,2025-01-01,2025-01-01,4632.58
INV000375,C0040,A0080,2025-02-01,2025-02-01,4632.58
INV000376,C0040,A0080,2025-03-01,2025-03-01,4632.58
INV000377,C0040,A0080,2025-04-01,2025-04-01,4632.58
INV000378,C0040,A0080,2025-05-01,2025-05-01,4632.58
INV000379,C0040,A0080,2025-06-01,2025-06-01,4632.58
INV000380,C0040,A0080,2025-07-01,2025-07-01,4632.58
INV000381,C0040,A0080,2025-08-01,2025-08-01,4632.58
INV000382,C0040,A0080,2025-09-01,2025-09-01,4632.58
INV000383,C0040,A0080,2025-10-01,2025-10-01,4632.58
INV000384,C0040,A0080,2025-11-01,2025-11-01,4632.58
INV000385,C0040,A0080,2025-12-01,2025-12-01,4632.58
INV000386,C0040,A0080,2026-01-01,2026-01-01,4632.58
INV000387,C0040,A0080,2026-02-01,2026-02-01,4632.58
INV000388,C0040,A0080,2026-03-01,2026-03-01,4632.58
INV000389,C0040,A0080,2026-04-01,2026-04-01,4632.58
INV000390,C0040,A0080,2026-05-01,2026-05-01,4632.58
INV000391,C0041,A0359,2026-01-01,2026-01-01,468.33
INV000392,C0041,A0359,2026-02-01,2026-02-01,468.33
INV000393,C0041,A0359,2026-03-01,2026-03-01,468.33
INV000394,C0041,A0359,2026-04-01,2026-04-01,468.33
INV000395,C0041,A0359,2026-05-01,2026-05-01,468.33
INV000396,C0042,A0316,2025-12-01,2025-12-01,1007.83
INV000397,C0042,A0316,2026-01-01,2026-01-01,1007.83
INV000398,C0042,A0316,2026-02-01,2026-02-01,1007.83
INV000399,C0042,A0316,2026-03-01,2026-03-01,1007.83
INV000400,C0042,A0316,2026-04-01,2026-04-01,1007.83
INV000401,C0042,A0316,2026-05-01,2026-05-01,1007.83
INV000402,C0043,A0198,2024-11-01,2024-11-01,5275.08
INV000403,C0043,A0198,2024-12-01,2024-12-01,5275.08
INV000404,C0043,A0198,2025-01-01,2025-01-01,5275.08
INV000405,C0043,A0198,2025-02-01,2025-02-01,5275.08
INV000406,C0043,A0198,2025-03-01,2025-03-01,5275.08
INV000407,C0043,A0198,2025-04-01,2025-04-01,5275.08
INV000408,C0043,A0198,2025-05-01,2025-05-01,5275.08
INV000409,C0043,A0198,2025-06-01,2025-06-01,5275.08
INV000410,C0043,A0198,2025-07-01,2025-07-01,5275.08
INV000411,C0043,A0198,2025-08-01,2025-08-01,5275.08
INV000412,C0043,A0198,2025-09-01,2025-09-01,5275.08
INV000413,C0043,A0198,2025-10-01,2025-10-01,5275.08
INV000414,C0043,A0198,2025-11-01,2025-11-01,5275.08
INV000415,C0044,A0426,2025-01-01,2025-01-01,2444.58
INV000416,C0044,A0426,2025-02-01,2025-02-01,2444.58
INV000417,C0044,A0426,2025-03-01,2025-03-01,2444.58
INV000418,C0044,A0426,2025-04-01,2025-04-01,2444.58
INV000419,C0044,A0426,2025-05-01,2025-05-01,2444.58
INV000420,C0044,A0426,2025-06-01,2025-06-01,2444.58
INV000421,C0044,A0426,2025-07-01,2025-07-01,2444.58
INV000422,C0044,A0426,2025-08-01,2025-08-01,2444.58
INV000423,C0044,A0426,2025-09-01,2025-09-01,2444.58
INV000424,C0044,A0426,2025-10-01,2025-10-01,2444.58
INV000425,C0044,A0426,2025-11-01,2025-11-01,2444.58
INV000426,C0044,A0426,2025-12-01,2025-12-01,2444.58
INV000427,C0044,A0426,2026-01-01,2026-01-01,2444.58
INV000428,C0045,A0426,2026-01-01,2026-01-01,2444.58
INV000429,C0045,A0426,2026-02-01,2026-02-01,2444.58
INV000430,C0045,A0426,2026-03-01,2026-03-01,2444.58
INV000431,C0045,A0426,2026-04-01,2026-04-01,2444.58
INV000432,C0045,A0426,2026-05-01,2026-05-01,2444.58
INV000433,C0046,A0363,2025-04-01,2025-04-01,17309.5
INV000434,C0046,A0363,2025-05-01,2025-05-01,17309.5
INV000435,C0046,A0363,2025-06-01,2025-06-01,17309.5
INV000436,C0046,A0363,2025-07-01,2025-07-01,17309.5
INV000437,C0046,A0363,2025-08-01,2025-08-01,17309.5
INV000438,C0046,A0363,2025-09-01,2025-09-01,17309.5
INV000439,C0046,A0363,2025-10-01,2025-10-01,17309.5
INV000440,C0046,A0363,2025-11-01,2025-11-01,17309.5
INV000441,C0046,A0363,2025-12-01,2025-12-01,17309.5
INV000442,C0046,A0363,2026-01-01,2026-01-01,17309.5
INV000443,C0046,A0363,2026-02-01,2026-02-01,17309.5
INV000444,C0046,A0363,2026-03-01,2026-03-01,17309.5
INV000445,C0046,A0363,2026-04-01,2026-04-01,17309.5
