history_id,opportunity_id,stage,entered_at,exited_at
H000163,O00045,Prospecting,2025-05-20,2025-05-21
H000164,O00045,Qualification,2025-05-21,2025-06-03
H000165,O00045,Proposal,2025-06-03,2025-06-13
H000166,O00045,Closed Lost,2025-06-13,
H000167,O00046,Prospecting,2025-07-29,2025-08-09
H000168,O00046,Qualification,2025-08-09,2025-09-01
H000169,O00046,Proposal,2025-09-01,2025-09-17
H000170,O00046,Negotiation,2025-09-17,2025-10-10
H000171,O00046,Closed Lost,2025-10-10,
H000172,O00047,Prospecting,2025-02-01,2025-02-10
H000173,O00047,Qualification,2025-02-10,2025-02-12
H000174,O00047,Proposal,2025-02-12,2025-04-13
H000175,O00047,Negotiation,2025-04-13,2025-04-28
H000176,O00047,Closed Won,2025-04-28,
H000177,O00048,Prospecting,2026-05-04,2026-05-11
H000178,O00048,Qualification,2026-05-11,
H000179,O00049,Prospecting,2024-06-10,2024-06-10
H000180,O00049,Qualification,2024-06-10,2024-06-19
H000181,O00049,Proposal,2024-06-19,2024-06-29
H000182,O00049,Negotiation,2024-06-29,2024-07-20
H000183,O00049,Closed Lost,2024-07-20,
H000184,O00050,Prospecting,2024-08-01,2024-09-09
H000185,O00050,Closed Lost,2024-09-09,
H000186,O00051,Prospecting,2024-06-21,2024-07-19
H000187,O00051,Qualification,2024-07-19,2024-08-27
H000188,O00051,Proposal,2024-08-27,2024-08-29
H000189,O00051,Negotiation,2024-08-29,2024-09-08
H000190,O00051,Closed Won,2024-09-08,
H000191,O00052,Prospecting,2024-06-16,2024-07-05
H000192,O00052,Qualification,2024-07-05,2024-07-27
H000193,O00052,Proposal,2024-07-27,2024-09-01
H000194,O00052,Negotiation,2024-09-01,2024-10-11
H000195,O00052,Closed Won,2024-10-11,
H000196,O00053,Prospecting,2025-04-16,2025-06-19
H000197,O00053,Qualification,2025-06-19,2025-06-22
H000198,O00053,Closed Lost,2025-06-22,
H000199,O00054,Prospecting,2026-02-24,2026-04-18
H000200,O00054,Qualification,2026-04-18,2026-05-08
H000201,O00054,Closed Lost,2026-05-08,
H000202,O00055,Prospecting,2025-09-07,2025-11-04
H000203,O00055,Qualification,2025-11-04,2025-11-20
H000204,O00055,Proposal,2025-11-20,2025-11-27
H000205,O00055,Negotiation,2025-11-27,2025-12-11
H000206,O00055,Closed Lost,2025-12-11,
H000207,O00056,Prospecting,2024-08-24,2024-08-25
H000208,O00056,Qualification,2024-08-25,2024-08-29
H000209,O00056,Proposal,2024-08-29,2024-10-16
H000210,O00056,Negotiation,2024-10-16,2024-11-14
H000211,O00056,Closed Won,2024-11-14,
H000212,O00057,Prospecting,2024-12-16,2024-12-24
H000213,O00057,Qualification,2024-12-24,2025-02-18
H000214,O00057,Proposal,2025-02-18,2025-03-18
H000215,O00057,Closed Lost,2025-03-18,
H000216,O00058,Prospecting,2025-05-30,2025-07-31
H000217,O00058,Qualification,2025-07-31,2025-09-09
H000218,O00058,Closed Lost,2025-09-09,
H000219,O00059,Prospecting,2024-10-17,2025-01-08
H000220,O00059,Closed Lost,2025-01-08,
H000221,O00060,Prospecting,2025-05-23,2025-05-31
H000222,O00060,Qualification,2025-05-31,2025-07-07
H000223,O00060,Proposal,2025-07-07,2025-07-20
H000224,O00060,Negotiation,2025-07-20,2025-09-02
H000225,O00060,Closed Won,2025-09-02,
H000226,O00061,Prospecting,2026-03-01,2026-03-01
H000227,O00061,Qualification,2026-03-01,2026-04-04
H000228,O00061,Proposal,2026-04-04,2026-04-16
H000229,O00061,Negotiation,2026-04-16,2026-05-23
H000230,O00061,Closed Won,2026-05-23,
H000231,O00062,Prospecting,2025-11-27,2026-02-15
H000232,O00062,Qualification,2026-02-15,2026-02-20
H000233,O00062,Closed Lost,2026-02-20,
H000234,O00063,Prospecting,2026-04-13,2026-04-17
H000235,O00063,Qualification,2026-04-17,2026-05-04
H000236,O00063,Proposal,2026-05-04,2026-05-14
H000237,O00063,Negotiation,2026-05-14,
H000238,O00064,Prospecting,2026-04-08,2026-04-15
H000239,O00064,Qualification,2026-04-15,2026-04-16
H000240,O00064,Proposal,2026-04-16,
H000241,O00065,Prospecting,2024-11-09,2024-11-26
H000242,O00065,Qualification,2024-11-26,2024-11-29
H000243,O00065,Proposal,2024-11-29,2024-12-14
H000244,O00065,Negotiation,2024-12-14,2024-12-24
H000245,O00065,Closed Won,2024-12-24,
H000246,O00066,Prospecting,2025-12-24,2026-02-07
H000247,O00066,Qualification,2026-02-07,2026-02-28
H000248,O00066,Proposal,2026-02-28,2026-03-30
H000249,O00066,Negotiation,2026-03-30,2026-04-04
H000250,O00066,Closed Won,2026-04-04,
H000251,O00067,Prospecting,2025-07-18,2025-08-02
H000252,O00067,Qualification,2025-08-02,2025-09-18
H000253,O00067,Proposal,2025-09-18,2025-10-07
H000254,O00067,Negotiation,2025-10-07,2025-10-16
H000255,O00067,Closed Lost,2025-10-16,
H000256,O00068,Prospecting,2025-09-29,2025-10-15
H000257,O00068,Qualification,2025-10-15,2025-11-14
H000258,O00068,Proposal,2025-11-14,2025-11-23
H000259,O00068,Negotiation,2025-11-23,2025-11-29
H000260,O00068,Closed Lost,2025-11-29,
H000261,O00069,Prospecting,2026-01-07,2026-02-26
H000262,O00069,Qualification,2026-02-26,2026-02-27
H000263,O00069,Proposal,2026-02-27,2026-03-09
H000264,O00069,Negotiation,2026-03-09,2026-03-20
H000265,O00069,Closed Won,2026-03-20,
H000266,O00070,Prospecting,2025-02-22,2025-03-08
H000267,O00070,Qualification,2025-03-08,2025-05-11
H000268,O00070,Proposal,2025-05-11,2025-06-10
H000269,O00070,Negotiation,2025-06-10,2025-06-13
H000270,O00070,Closed Won,2025-06-13,
H000271,O00071,Prospecting,2025-04-26,2025-05-10
H000272,O00071,Qualification,2025-05-10,2025-05-15
H000273,O00071,Proposal,2025-05-15,2025-05-18
H000274,O00071,Negotiation,2025-05-18,2025-05-30
H000275,O00071,Closed Won,2025-05-30,
H000276,O00072,Prospecting,2026-03-03,
H000277,O00073,Prospecting,2026-03-22,2026-03-26
H000278,O00073,Qualification,2026-03-26,2026-05-15
H000279,O00073,Proposal,2026-05-15,
H000280,O00074,Prospecting,2026-03-15,2026-04-02
H000281,O00074,Qualification,2026-04-02,
H000282,O00075,Prospecting,2025-05-26,2025-06-03
H000283,O00075,Qualification,2025-06-03,2025-06-09
H000284,O00075,Proposal,2025-06-09,2025-06-20
H000285,O00075,Negotiation,2025-06-20,2025-06-21
H000286,O00075,Closed Lost,2025-06-21,
H000287,O00076,Prospecting,2026-04-27,2026-05-19
H000288,O00076,Qualification,2026-05-19,
H000289,O00077,Prospecting,2024-11-15,2024-11-23
H000290,O00077,Qualification,2024-11-23,2025-03-02
H000291,O00077,Proposal,2025-03-02,2025-03-05
H000292,O00077,Negotiation,2025-03-05,2025-03-07
H000293,O00077,Closed Won,2025-03-07,
H000294,O00078,Prospecting,2025-01-26,2025-02-18
H000295,O00078,Qualification,2025-02-18,2025-04-27
H000296,O00078,Closed Lost,2025-04-27,
H000297,O00079,Prospecting,2026-01-02,2026-01-20
H000298,O00079,Qualification,2026-01-20,2026-02-09
H000299,O00079,Proposal,2026-02-09,2026-02-22
H000300,O00079,Negotiation,2026-02-22,2026-03-04
H000301,O00079,Closed Won,2026-03-04,
H000302,O00080,Prospecting,2026-04-11,2026-05-20
H000303,O00080,Qualification,2026-05-20,
H000304,O00081,Prospecting,2024-12-05,2024-12-15
H000305,O00081,Qualification,2024-12-15,2024-12-22
H000306,O00081,Proposal,2024-12-22,2025-01-10
H000307,O00081,Negotiation,2025-01-10,2025-01-22
H000308,O00081,Closed Won,2025-01-22,
H000309,O00082,Prospecting,2026-03-03,
H000310,O00083,Prospecting,2026-03-30,2026-04-08
H000311,O00083,Qualification,2026-04-08,2026-04-22
H000312,O00083,Proposal,2026-04-22,2026-04-24
H000313,O00083,Closed Lost,2026-04-24,
H000314,O00084,Prospecting,2025-05-19,2025-06-10
H000315,O00084,Qualification,2025-06-10,2025-07-18
H000316,O00084,Proposal,2025-07-18,2025-09-01
H000317,O00084,Negotiation,2025-09-01,2025-09-14
H000318,O00084,Closed Lost,2025-09-14,
H000319,O00085,Prospecting,2025-08-08,
H000320,O00086,Prospecting,2024-11-27,2024-11-27
H000321,O00086,Qualification,2024-11-27,2024-11-29
H000322,O00086,Proposal,2024-11-29,2024-12-19
H000323,O00086,Negotiation,2024-12-19,2024-12-30
H000324,O00086,Closed Lost,2024-12-30,
H000325,O00087,Prospecting,2025-11-23,2025-12-04
H000326,O00087,Qualification,2025-12-04,2025-12-06
H000327,O00087,Proposal,2025-12-06,2025-12-13
H000328,O00087,Negotiation,2025-12-13,2026-01-14
H000329,O00087,Closed Won,2026-01-14,
H000330,O00088,Prospecting,2025-10-30,2025-11-19
H000331,O00088,Qualification,2025-11-19,2025-11-20
H000332,O00088,Proposal,2025-11-20,2025-11-25
H000333,O00088,Negotiation,2025-11-25,2025-12-04
H000334,O00088,Closed Won,2025-12-04,
H000335,O00089,Prospecting,2026-04-03,2026-04-27
H000336,O00089,Qualification,2026-04-27,2026-05-16
H000337,O00089,Proposal,2026-05-16,2026-05-30
H000338,O00089,Closed Lost,2026-05-30,
H000339,O00090,Prospecting,2024-09-17,2024-10-01
H000340,O00090,Qualification,2024-10-01,2024-10-17
H000341,O00090,Proposal,2024-10-17,2024-10-27
H000342,O00090,Negotiation,2024-10-27,2024-11-04
H000343,O00090,Closed Won,2024-11-04,
H000344,O00091,Prospecting,2026-05-23,2026-05-23
H000345,O00091,Qualification,2026-05-23,2026-05-27
H000346,O00091,Proposal,2026-05-27,
H000347,O00092,Prospecting,2025-03-09,2025-04-05
H000348,O00092,Qualification,2025-04-05,2025-04-08
H000349,O00092,Closed Lost,2025-04-08,
H000350,O00093,Prospecting,2024-11-15,2024-12-26
H000351,O00093,Qualification,2024-12-26,2024-12-29
H000352,O00093,Proposal,2024-12-29,2024-12-29
H000353,O00093,Negotiation,2024-12-29,2025-01-06
H000354,O00093,Closed Won,2025-01-06,
H000355,O00094,Prospecting,2026-03-19,2026-05-15
H000356,O00094,Closed Lost,2026-05-15,
H000357,O00095,Prospecting,2024-12-27,2025-01-03
H000358,O00095,Qualification,2025-01-03,2025-01-16
H000359,O00095,Proposal,2025-01-16,2025-02-16
H000360,O00095,Negotiation,2025-02-16,2025-04-11
H000361,O00095,Closed Won,2025-04-11,
H000362,O00096,Prospecting,2025-12-02,2025-12-17
H000363,O00096,Qualification,2025-12-17,2025-12-30
H000364,O00096,Proposal,2025-12-30,2026-03-04
H000365,O00096,Closed Lost,2026-03-04,
H000366,O00097,Prospecting,2024-09-15,2024-10-05
H000367,O00097,Qualification,2024-10-05,2024-10-08
H000368,O00097,Proposal,2024-10-08,2024-11-20
H000369,O00097,Closed Lost,2024-11-20,
H000370,O00098,Prospecting,2024-09-21,2024-10-25
H000371,O00098,Qualification,2024-10-25,2024-10-31
H000372,O00098,Proposal,2024-10-31,2024-10-31
H000373,O00098,Negotiation,2024-10-31,2024-11-15
H000374,O00098,Closed Won,2024-11-15,
H000375,O00099,Prospecting,2026-05-15,2026-05-15
H000376,O00099,Qualification,2026-05-15,2026-05-19
H000377,O00099,Proposal,2026-05-19,2026-05-29
H000378,O00099,Negotiation,2026-05-29,
H000379,O00100,Prospecting,2025-12-25,2025-12-29
H000380,O00100,Qualification,2025-12-29,2026-01-11
H000381,O00100,Proposal,2026-01-11,2026-01-18
H000382,O00100,Negotiation,2026-01-18,2026-02-11
H000383,O00100,Closed Won,2026-02-11,
H000384,O00101,Prospecting,2026-05-19,2026-05-20
H000385,O00101,Qualification,2026-05-20,
H000386,O00102,Prospecting,2026-05-02,2026-05-03
H000387,O00102,Qualification,2026-05-03,2026-05-16
H000388,O00102,Proposal,2026-05-16,
H000389,O00103,Prospecting,2025-06-02,2025-06-04
H000390,O00103,Qualification,2025-06-04,2025-06-08
H000391,O00103,Proposal,2025-06-08,2025-07-14
H000392,O00103,Negotiation,2025-07-14,2025-08-07
H000393,O00103,Closed Lost,2025-08-07,
H000394,O00104,Prospecting,2026-04-04,2026-04-24
H000395,O00104,Qualification,2026-04-24,
H000396,O00105,Prospecting,2025-10-11,2025-11-03
H000397,O00105,Qualification,2025-11-03,2025-11-03
H000398,O00105,Proposal,2025-11-03,2025-11-21
H000399,O00105,Negotiation,2025-11-21,2025-11-28
H000400,O00105,Closed Won,2025-11-28,
H000401,O00106,Prospecting,2024-07-18,2024-07-25
H000402,O00106,Qualification,2024-07-25,2024-08-16
H000403,O00106,Proposal,2024-08-16,2024-09-05
H000404,O00106,Closed Lost,2024-09-05,
H000405,O00107,Prospecting,2026-03-16,2026-04-16
H000406,O00107,Qualification,2026-04-16,2026-04-29
H000407,O00107,Proposal,2026-04-29,2026-05-04
H000408,O00107,Negotiation,2026-05-04,
H000409,O00108,Prospecting,2025-10-07,2025-10-21
H000410,O00108,Qualification,2025-10-21,2025-10-23
H000411,O00108,Proposal,2025-10-23,2026-01-07
H000412,O00108,Negotiation,2026-01-07,2026-01-15
H000413,O00108,Closed Won,2026-01-15,
H000414,O00109,Prospecting,2026-05-07,2026-05-17
H000415,O00109,Qualification,2026-05-17,2026-05-20
H000416,O00109,Proposal,2026-05-20,2026-05-29
H000417,O00109,Closed Lost,2026-05-29,
H000418,O00110,Prospecting,2024-11-03,2024-12-05
H000419,O00110,Qualification,2024-12-05,2024-12-15
H000420,O00110,Proposal,2024-12-15,2025-02-05
H000421,O00110,Closed Lost,2025-02-05,
H000422,O00111,Prospecting,2024-11-24,2024-11-27
H000423,O00111,Qualification,2024-11-27,2024-12-03
H000424,O00111,Proposal,2024-12-03,2024-12-05
H000425,O00111,Negotiation,2024-12-05,2024-12-16
H000426,O00111,Closed Won,2024-12-16,
H000427,O00112,Prospecting,2025-10-27,2026-02-24
H000428,O00112,Closed Lost,2026-02-24,
H000429,O00113,Prospecting,2025-07-16,2025-09-05
H000430,O00113,Qualification,2025-09-05,2025-10-07
H000431,O00113,Proposal,2025-10-07,2025-10-28
H000432,O00113,Negotiation,2025-10-28,2025-11-12
H000433,O00113,Closed Won,2025-11-12,
H000434,O00114,Prospecting,2025-12-11,2026-01-04
H000435,O00114,Qualification,2026-01-04,2026-02-21
H000436,O00114,Proposal,2026-02-21,2026-03-07
H000437,O00114,Negotiation,2026-03-07,2026-03-16
H000438,O00114,Closed Won,2026-03-16,
H000439,O00115,Prospecting,2024-05-06,2024-06-19
H000440,O00115,Closed Lost,2024-06-19,
H000441,O00116,Prospecting,2025-06-23,2025-07-08
H000442,O00116,Qualification,2025-07-08,2025-08-01
H000443,O00116,Proposal,2025-08-01,2025-08-22
H000444,O00116,Closed Lost,2025-08-22,
H000445,O00117,Prospecting,2025-06-11,2025-08-09
H000446,O00117,Qualification,2025-08-09,2025-09-26
H000447,O00117,Closed Lost,2025-09-26,
H000448,O00118,Prospecting,2025-12-13,2025-12-21
H000449,O00118,Qualification,2025-12-21,2026-01-05
H000450,O00118,Proposal,2026-01-05,2026-02-01
H000451,O00118,Negotiation,2026-02-01,2026-02-10
H000452,O00118,Closed Won,2026-02-10,
H000453,O00119,Prospecting,2024-08-11,2024-08-24
H000454,O00119,Qualification,2024-08-24,2024-09-20
H000455,O00119,Closed Lost,2024-09-20,
H000456,O00120,Prospecting,2026-02-11,2026-03-15
H000457,O00120,Qualification,2026-03-15,2026-03-24
H000458,O00120,Proposal,2026-03-24,2026-04-08
H000459,O00120,Negotiation,2026-04-08,2026-04-21
H000460,O00120,Closed Won,2026-04-21,
H000461,O00121,Prospecting,2025-05-29,2025-06-10
H000462,O00121,Qualification,2025-06-10,2025-06-12
H000463,O00121,Proposal,2025-06-12,2025-06-15
H000464,O00121,Negotiation,2025-06-15,2025-06-22
H000465,O00121,Closed Won,2025-06-22,
H000466,O00122,Prospecting,2024-11-23,2024-12-03
H000467,O00122,Qualification,2024-12-03,2024-12-05
H000468,O00122,Proposal,2024-12-05,2024-12-14
H000469,O00122,Closed Lost,2024-12-14,
H000470,O00123,Prospecting,2024-05-01,2024-05-29
H000471,O00123,Qualification,2024-05-29,2024-06-11
H000472,O00123,Proposal,2024-06-11,2024-07-08
H000473,O00123,Negotiation,2024-07-08,2024-08-12
H000474,O00123,Closed Won,2024-08-12,
H000475,O00124,Prospecting,2024-08-01,2024-08-10
H000476,O00124,Qualification,2024-08-10,2024-08-27
H000477,O00124,Proposal,2024-08-27,2024-08-29
H000478,O00124,Closed Lost,2024-08-29,
H000479,O00125,Prospecting,2025-12-10,2026-02-19
H000480,O00125,Closed Lost,2026-02-19,
H000481,O00126,Prospecting,2025-10-08,2025-10-27
H000482,O00126,Qualification,2025-10-27,2025-10-31
H000483,O00126,Proposal,2025-10-31,2025-11-04
H000484,O00126,Negotiation,2025-11-04,2025-11-11
H000485,O00126,Closed Won,2025-11-11,
H000486,O00127,Prospecting,2025-08-13,2025-08-29
H000487,O00127,Qualification,2025-08-29,2025-09-12
H000488,O00127,Proposal,2025-09-12,2025-10-06
H000489,O00127,Negotiation,2025-10-06,2025-10-15
H000490,O00127,Closed Won,2025-10-15,
H000491,O00128,Prospecting,2025-03-20,2025-03-20
H000492,O00128,Qualification,2025-03-20,2025-04-01
H000493,O00128,Proposal,2025-04-01,2025-04-29
H000494,O00128,Negotiation,2025-04-29,2025-05-08
H000495,O00128,Closed Lost,2025-05-08,
H000496,O00129,Prospecting,2024-10-30,2024-11-15
H000497,O00129,Qualification,2024-11-15,2024-11-18
H000498,O00129,Proposal,2024-11-18,2024-12-20
H000499,O00129,Negotiation,2024-12-20,2025-01-28
H000500,O00129,Closed Won,2025-01-28,
H000501,O00130,Prospecting,2025-01-03,2025-01-26
H000502,O00130,Qualification,2025-01-26,2025-01-31
H000503,O00130,Proposal,2025-01-31,2025-03-14
H000504,O00130,Negotiation,2025-03-14,2025-04-27
H000505,O00130,Closed Won,2025-04-27,
H000506,O00131,Prospecting,2025-09-17,2025-12-14
H000507,O00131,Qualification,2025-12-14,2025-12-15
H000508,O00131,Proposal,2025-12-15,2025-12-25
H000509,O00131,Negotiation,2025-12-25,2025-12-30
H000510,O00131,Closed Won,2025-12-30,
H000511,O00132,Prospecting,2026-05-14,2026-05-22
H000512,O00132,Qualification,2026-05-22,2026-05-26
H000513,O00132,Proposal,2026-05-26,
H000514,O00133,Prospecting,2025-09-02,2025-09-27
H000515,O00133,Qualification,2025-09-27,2025-10-29
H000516,O00133,Proposal,2025-10-29,2025-11-04
H000517,O00133,Negotiation,2025-11-04,2025-11-15
H000518,O00133,Closed Won,2025-11-15,
H000519,O00134,Prospecting,2024-05-09,2024-08-25
H000520,O00134,Closed Lost,2024-08-25,
H000521,O00135,Prospecting,2025-01-25,2025-02-10
H000522,O00135,Qualification,2025-02-10,2025-02-24
H000523,O00135,Proposal,2025-02-24,2025-04-21
H000524,O00135,Negotiation,2025-04-21,2025-04-25
H000525,O00135,Closed Won,2025-04-25,
H000526,O00136,Prospecting,2025-02-11,2025-02-20
H000527,O00136,Qualification,2025-02-20,2025-02-27
H000528,O00136,Proposal,2025-02-27,2025-03-23
H000529,O00136,Negotiation,2025-03-23,2025-04-23
H000530,O00136,Closed Won,2025-04-23,
H000531,O00137,Prospecting,2024-11-17,2024-11-17
H000532,O00137,Qualification,2024-11-17,2025-01-24
H000533,O00137,Closed Lost,2025-01-24,
