opportunity_id,account_id,lead_id,rep_id,created_date,close_date,stage,amount,is_closed,is_won
O00101,A0006,L00101,R016,2026-05-19,,Qualification,142621.0,0,0
O00102,A0284,L00102,R012,2026-05-02,,Proposal,57081.0,0,0
O00103,A0185,L00103,R013,2025-06-02,2025-08-07,Closed Lost,5701.0,1,0
O00104,A0485,L00104,R015,2026-04-04,,Qualification,15380.0,0,0
O00105,A0327,L00105,R002,2025-10-11,2025-11-28,Closed Won,18688.0,1,1
O00106,A0303,L00106,R016,2024-07-18,2024-09-05,Closed Lost,13222.0,1,0
O00107,A0409,L00107,R005,2026-03-16,,Negotiation,15831.0,0,0
O00108,A0122,L00108,R011,2025-10-07,2026-01-15,Closed Won,28381.0,1,1
O00109,A0259,L00109,R011,2026-05-07,2026-05-29,Closed Lost,46571.0,1,0
O00110,A0241,L00110,R015,2024-11-03,2025-02-05,Closed Lost,8594.0,1,0
O00111,A0296,,R007,2024-11-24,2024-12-16,Closed Won,8765.0,1,1
O00112,A0049,L00112,R017,2025-10-27,2026-02-24,Closed Lost,12796.0,1,0
O00113,A0066,L00113,R010,2025-07-16,2025-11-12,Closed Won,14887.0,1,1
O00114,A0470,L00114,R015,2025-12-11,2026-03-16,Closed Won,51596.0,1,1
O00115,A0042,L00115,R016,2024-05-06,2024-06-19,Closed Lost,236838.0,1,0
O00116,A0260,L00116,R012,2025-06-23,2025-08-22,Closed Lost,11144.0,1,0
O00117,A0428,L00117,R011,2025-06-11,2025-09-26,Closed Lost,47758.0,1,0
O00118,A0090,L00118,R010,2025-12-13,2026-02-10,Closed Won,14160.0,1,1
O00119,A0060,L00119,R009,2024-08-11,2024-09-20,Closed Lost,35058.0,1,0
O00120,A0276,L00120,R013,2026-02-11,2026-04-21,Closed Won,16420.0,1,1
O00121,A0045,L00121,R004,2025-05-29,2025-06-22,Closed Won,9310.0,1,1
O00122,A0473,L00122,R004,2024-11-23,2024-12-14,Closed Lost,18438.0,1,0
O00123,A0116,L00123,R013,2024-05-01,2024-08-12,Closed Won,7776.0,1,1
O00124,A0203,L00124,R010,2024-08-01,2024-08-29,Closed Lost,8281.0,1,0
O00125,A0139,L00125,R018,2025-12-10,2026-02-19,Closed Lost,14934.0,1,0
O00126,A0254,L00126,R002,2025-10-08,2025-11-11,Closed Won,14152.0,1,1
O00127,A0484,L00127,R009,2025-08-13,2025-10-15,Closed Won,14226.0,1,1
O00128,A0192,L00128,R018,2025-03-20,2025-05-08,Closed Lost,17921.0,1,0
O00129,A0047,L00129,R014,2024-10-30,2025-01-28,Closed Won,16037.0,1,1
O00130,A0374,L00130,R009,2025-01-03,2025-04-27,Closed Won,129851.0,1,1
O00131,A0078,L00131,R003,2025-09-17,2025-12-30,Closed Won,107967.0,1,1
O00132,A0186,L00132,R009,2026-05-14,,Proposal,40671.0,0,0
O00133,A0199,L00133,R011,2025-09-02,2025-11-15,Closed Won,17290.0,1,1
O00134,A0229,L00134,R013,2024-05-09,2024-08-25,Closed Lost,111553.0,1,0
O00135,A0051,L00135,R012,2025-01-25,2025-04-25,Closed Won,174791.0,1,1
O00136,A0212,L00136,R013,2025-02-11,2025-04-23,Closed Won,11866.0,1,1
O00137,A0050,L00137,R015,2024-11-17,2025-01-24,Closed Lost,37691.0,1,0
O00138,A0211,L00138,R018,2026-05-07,,Proposal,7203.0,0,0
O00139,A0200,L00139,R003,2025-08-31,2025-10-22,Closed Won,16313.0,1,1
O00140,A0279,L00140,R005,2025-04-25,2025-05-30,Closed Won,18271.0,1,1
O00141,A0391,L00141,R006,2025-08-01,2025-11-28,Closed Lost,43272.0,1,0
O00142,A0232,L00142,R016,2025-07-06,2025-09-07,Closed Lost,7373.0,1,0
O00143,A0356,L00143,R012,2025-05-07,2025-07-22,Closed Won,59674.0,1,1
O00144,A0063,L00144,R012,2026-03-12,,Qualification,8844.0,0,0
O00145,A0469,L00145,R010,2025-10-19,2025-12-28,Closed Won,204042.0,1,1
O00146,A0195,L00146,R005,2024-09-07,2024-12-16,Closed Won,8757.0,1,1
O00147,A0458,L00147,R009,2026-05-10,,Proposal,19159.0,0,0
O00148,A0089,L00148,R009,2025-07-20,2025-10-20,Closed Lost,236653.0,1,0
O00149,A0154,L00149,R005,2025-10-18,2025-11-07,Closed Won,188056.0,1,1
O00150,A0474,L00150,R006,2026-04-08,,Qualification,12816.0,0,0
O00151,A0442,L00151,R008,2025-06-04,2025-09-26,Closed Won,194584.0,1,1
O00152,A0400,L00152,R015,2026-02-24,2026-04-21,Closed Lost,60187.0,1,0
O00153,A0056,L00153,R012,2025-09-16,2025-12-24,Closed Won,49841.0,1,1
O00154,A0487,L00154,R005,2024-05-09,2024-08-30,Closed Lost,153954.0,1,0
O00155,A0171,L00155,R015,2025-08-18,2025-10-24,Closed Lost,40419.0,1,0
O00156,A0376,L00156,R002,2026-03-11,,Negotiation,29574.0,0,0
O00157,A0061,L00157,R013,2025-01-09,2025-03-26,Closed Won,17585.0,1,1
O00158,A0105,L00158,R013,2024-10-10,2024-12-10,Closed Won,11375.0,1,1
O00159,A0241,L00159,R004,2026-05-26,,Qualification,9895.0,0,0
O00160,A0008,L00160,R005,2024-05-10,2024-06-30,Closed Won,288244.0,1,1
O00161,A0386,L00161,R003,2025-04-12,2025-07-20,Closed Won,145201.0,1,1
O00162,A0054,L00162,R005,2026-05-23,,Proposal,51971.0,0,0
O00163,A0363,L00163,R017,2025-11-24,2026-02-08,Closed Lost,145718.0,1,0
O00164,A0174,L00164,R009,2026-05-17,,Qualification,16999.0,0,0
O00165,A0410,L00165,R007,2025-10-01,2026-01-10,Closed Won,13873.0,1,1
O00166,A0311,L00166,R013,2025-06-01,2025-08-28,Closed Lost,10254.0,1,0
O00167,A0078,L00167,R006,2024-08-07,2024-09-10,Closed Lost,154220.0,1,0
O00168,A0065,L00168,R001,2024-08-10,2024-09-23,Closed Won,19311.0,1,1
O00169,A0351,L00169,R001,2024-07-12,2024-10-31,Closed Won,36773.0,1,1
O00170,A0040,L00170,R012,2025-06-30,2025-10-23,Closed Won,289982.0,1,1
O00171,A0368,L00171,R006,2026-05-07,,Prospecting,74686.0,0,0
O00172,A0266,L00172,R004,2026-01-31,2026-05-03,Closed Lost,8104.0,1,0
O00173,A0053,L00173,R011,2025-07-12,2025-10-29,Closed Lost,61852.0,1,0
O00174,A0275,L00174,R007,2025-07-28,2025-11-01,Closed Won,13268.0,1,1
O00175,A0207,L00175,R008,2025-01-02,2025-04-09,Closed Lost,15375.0,1,0
O00176,A0128,L00176,R009,2024-06-05,2024-09-25,Closed Won,12412.0,1,1
O00177,A0151,L00177,R004,2025-02-07,2025-06-05,Closed Won,34541.0,1,1
O00178,A0231,L00178,R003,2025-01-11,2025-04-15,Closed Won,30230.0,1,1
O00179,A0109,L00179,R014,2026-03-24,,Negotiation,25059.0,0,0
O00180,A0405,L00180,R002,2025-04-08,2025-08-04,Closed Won,11251.0,1,1
O00181,A0386,L00181,R012,2026-02-09,2026-03-02,Closed Lost,275999.0,1,0
O00182,A0252,L00182,R003,2025-07-31,2025-10-09,Closed Lost,8617.0,1,0
O00183,A0394,L00183,R003,2024-06-20,2024-09-21,Closed Won,7425.0,1,1
O00184,A0066,L00184,R009,2026-02-27,2026-05-08,Closed Won,7209.0,1,1
O00185,A0036,L00185,R008,2024-07-31,2024-11-01,Closed Lost,17726.0,1,0
O00186,A0183,L00186,R006,2025-03-09,2025-04-01,Closed Lost,32483.0,1,0
O00187,A0222,L00187,R008,2026-03-31,,Qualification,7389.0,0,0
O00188,A0043,L00188,R001,2026-03-20,,Proposal,273876.0,0,0
O00189,A0236,L00189,R004,2025-11-11,2025-12-27,Closed Lost,41749.0,1,0
O00190,A0350,L00190,R007,2026-05-08,,Prospecting,5301.0,0,0
O00191,A0143,L00191,R013,2026-03-02,2026-05-20,Closed Won,286881.0,1,1
O00192,A0181,L00192,R001,2026-05-24,,Negotiation,27070.0,0,0
O00193,A0243,L00193,R010,2025-08-12,2025-11-04,Closed Won,59131.0,1,1
O00194,A0167,L00194,R014,2025-04-26,2025-08-11,Closed Won,11445.0,1,1
O00195,A0406,L00195,R005,2025-11-20,2025-12-13,Closed Won,15252.0,1,1
O00196,A0365,L00196,R018,2024-12-19,2025-03-29,Closed Lost,54125.0,1,0
O00197,A0225,L999938,R004,2024-11-24,2025-02-21,Closed Won,7158.0,1,1
O00198,A0498,L00198,R003,2026-03-22,,Proposal,17616.0,0,0
O00199,A0159,L00199,R003,2025-06-28,2025-08-27,Closed Won,19411.0,1,1
O00200,A0370,L00200,R015,2024-05-27,2024-07-09,Closed Won,119834.0,1,1
O00201,A0116,L00201,R007,2024-09-15,2024-12-05,Closed Lost,5427.0,1,0
O00202,A0097,L00202,R008,2026-04-05,,Negotiation,22112.0,0,0
O00203,A0464,L00203,R016,2025-08-12,2025-10-12,Closed Lost,48788.0,1,0
O00204,A0368,L00204,R013,2025-12-07,2026-04-01,Closed Won,44928.0,1,1
O00205,A0055,L00205,R015,2025-10-14,2025-12-04,Closed Won,12485.0,1,1
O00206,A0316,L00206,R004,2025-02-17,2025-04-16,Closed Lost,5807.0,1,0
O00207,A0072,L00207,R012,2024-08-24,2024-11-16,Closed Won,297551.0,1,1
O00208,A0207,L00208,R001,2024-11-23,2025-03-14,Closed Lost,12387.0,1,0
O00209,A0360,L00209,R002,2025-05-07,2025-08-16,Closed Lost,7024.0,1,0
O00210,A0364,L00210,R012,2025-05-25,2025-08-23,Closed Won,13383.0,1,1
O00211,A0076,L00211,R003,2026-03-08,,Negotiation,19234.0,0,0
O00212,A0059,L00212,R018,2025-01-15,2025-05-12,Closed Won,7155.0,1,1
O00213,A0442,L00213,R004,2025-06-24,2025-09-10,Closed Lost,142358.0,1,0
O00214,A0315,L00214,R015,2024-06-26,2024-08-03,Closed Won,18436.0,1,1
O00215,A0302,L00215,R017,2024-10-30,2025-01-11,Closed Won,10424.0,1,1
O00216,A0394,L00216,R018,2024-06-06,2024-08-11,Closed Lost,7906.0,1,0
O00217,A0449,L00217,R002,2024-07-06,2024-10-04,Closed Lost,18439.0,1,0
O00218,A0264,L00218,R004,2024-08-20,2024-09-16,Closed Won,217532.0,1,1
O00219,A0345,L00219,R018,2025-03-21,2025-06-26,Closed Won,71654.0,1,1
O00220,A0282,L00220,R014,2026-01-15,2026-02-27,Closed Lost,54059.0,1,0
O00221,A0012,L00221,R015,2026-01-21,2026-03-08,Closed Lost,15247.0,1,0
O00222,A0321,L00222,R006,2026-04-10,,Proposal,260883.0,0,0
O00223,A0167,L00223,R014,2024-10-27,2024-11-19,Closed Lost,11488.0,1,0
O00224,A0240,L00224,R015,2024-10-07,2024-12-27,Closed Lost,12774.0,1,0
O00225,A0029,L00225,R006,2025-11-20,2026-01-19,Closed Lost,13537.0,1,0
O00226,A0166,L00226,R015,2025-02-12,2025-03-23,Closed Won,19549.0,1,1
O00227,A0303,L00227,R011,2026-04-10,,Proposal,8070.0,0,0
O00228,A0186,L00228,R018,2024-10-27,2024-12-24,Closed Won,74359.0,1,1
O00229,A0253,L00229,R009,2025-04-14,2025-05-28,Closed Lost,289459.0,1,0
O00230,A0492,L00230,R013,2024-06-07,2024-09-27,Closed Won,13456.0,1,1
O00231,A0023,L00231,R011,2024-06-17,2024-09-04,Closed Won,18895.0,1,1
O00232,A0157,L00232,R004,2025-02-08,2025-04-05,Closed Won,78466.0,1,1
O00233,A0137,L00233,R018,2024-11-28,2024-12-31,Closed Lost,5249.0,1,0
O00234,A0142,L00234,R004,2025-11-05,2026-01-07,Closed Won,9011.0,1,1
O00235,A0192,L00235,R008,2025-12-28,2026-04-03,Closed Won,6410.0,1,1
O00236,A0409,L00236,R014,2026-03-12,,Negotiation,16680.0,0,0
O00237,A0228,L00237,R012,2026-05-01,,Qualification,16214.0,0,0
O00238,A0130,L00238,R008,2025-04-04,2025-07-18,Closed Lost,10954.0,1,0
O00239,A0240,L00239,R004,2026-05-18,,Qualification,18857.0,0,0
O00240,A0399,L00240,R011,2025-10-28,2025-12-25,Closed Won,41356.0,1,1
O00241,A0487,L00241,R002,2025-12-27,2026-04-14,Closed Won,180615.0,1,1
O00242,A0119,L00242,R013,2025-12-09,2026-03-30,Closed Lost,253699.0,1,0
O00243,A0089,L00243,R002,2025-05-24,2025-08-28,Closed Won,186376.0,1,1
O00244,A0444,L00244,R014,2026-03-20,,Qualification,79195.0,0,0
O00245,A0289,L00245,R004,2026-04-09,,Proposal,8205.0,0,0
O00246,A0292,L00246,R018,2025-02-26,2025-04-03,Closed Lost,240298.0,1,0
O00247,A0484,L00247,R013,2026-04-16,,Prospecting,5013.0,0,0
O00248,A0118,L00248,R011,2025-05-27,2025-09-15,Closed Lost,66020.0,1,0
O00249,A0278,L00249,R017,2026-03-21,,Proposal,18817.0,0,0
O00250,A0072,L00250,R012,2026-03-19,,Prospecting,207585.0,0,0
O00251,A0208,L00251,R017,2026-01-29,2026-04-13,Closed Lost,199545.0,1,0
O00252,A0226,L00252,R005,2025-12-13,2026-01-02,Closed Lost,10821.0,1,0
O00253,A0017,L00253,R011,2025-12-16,2026-01-19,Closed Lost,5620.0,1,0
O00254,A0390,L00254,R010,2024-07-30,2024-11-05,Closed Lost,201880.0,1,0
O00255,A0335,L00255,R012,2026-04-10,,Prospecting,16207.0,0,0
O00256,A0006,L00256,R010,2025-04-05,2025-07-27,Closed Lost,199022.0,1,0
O00257,A0462,L00257,R006,2026-04-04,,Prospecting,276457.0,0,0
O00258,A0085,L00258,R012,2026-01-30,2026-05-24,Closed Won,5845.0,1,1
O00259,A0139,L00259,R012,2024-05-15,2024-07-06,Closed Won,7171.0,1,1
O00260,A0185,L00260,R005,2024-11-02,2025-01-23,Closed Lost,7873.0,1,0
O00261,A0484,L00261,R017,2025-06-27,2025-09-18,Closed Won,14757.0,1,1
O00262,A0368,L00262,R001,2024-06-23,2024-07-27,Closed Won,42614.0,1,1
O00263,A0462,L00263,R007,2025-01-24,2025-04-14,Closed Lost,141252.0,1,0
O00264,A0464,L00264,R007,2024-06-12,2024-09-07,Closed Won,49413.0,1,1
O00265,A0460,L00265,R005,2025-01-17,2025-02-18,Closed Won,19063.0,1,1
O00266,A0336,L00266,R004,2024-11-01,2025-02-17,Closed Won,17623.0,1,1
O00267,A0049,L00267,R013,2025-02-15,2025-06-07,Closed Won,6702.0,1,1
O00268,A0329,L00268,R004,2024-08-31,2024-10-05,Closed Lost,74752.0,1,0
O00269,A0329,L00269,R012,2026-03-25,,Prospecting,78975.0,0,0
O00270,A0234,L00270,R012,2026-04-06,,Negotiation,6240.0,0,0
O00271,A0389,L00271,R007,2026-04-04,,Proposal,180348.0,0,0
O00272,A0306,L00272,R012,2025-07-16,2025-10-13,Closed Won,126777.0,1,1
O00273,A0018,L00273,R011,2024-05-20,2024-08-05,Closed Won,6153.0,1,1
O00274,A0134,L00274,R006,2025-10-10,2025-10-30,Closed Won,65878.0,1,1
O00275,A0036,L00275,R001,2026-05-02,,Prospecting,8700.0,0,0
O00276,A0496,L00276,R013,2024-08-01,2024-11-09,Closed Lost,167409.0,1,0
O00277,A0381,L00277,R012,2025-05-29,2025-06-23,Closed Won,9750.0,1,1
O00278,A0180,L00278,R016,2024-09-21,2024-11-04,Closed Lost,25561.0,1,0
O00279,A0499,L00279,R009,2026-02-18,2026-05-18,Closed Won,35629.0,1,1
O00280,A0009,L00280,R002,2026-03-07,,Negotiation,10558.0,0,0
O00281,A0436,L00281,R003,2024-06-07,2024-07-06,Closed Lost,13791.0,1,0
O00282,A0460,L00282,R005,2024-10-24,2024-11-14,Closed Lost,5750.0,1,0
O00283,A0049,L00283,R004,2024-08-25,2024-09-27,Closed Lost,15014.0,1,0
O00284,A0406,L00284,R013,2025-12-11,2026-03-28,Closed Won,17090.0,1,1
O00285,A0297,L00285,R002,2025-06-30,2025-10-24,Closed Won,167950.0,1,1
O00286,A0021,L00286,R015,2024-10-09,2024-12-16,Closed Lost,106205.0,1,0
O00287,A0004,L00287,R013,2025-07-01,2025-08-26,Closed Lost,103367.0,1,0
O00288,A0470,L00288,R013,2025-09-24,2026-01-13,Closed Lost,60012.0,1,0
O00289,A0151,L00289,R001,2025-10-25,2025-11-29,Closed Won,47445.0,1,1
O00290,A0233,L00290,R012,2024-08-24,2024-10-07,Closed Won,244223.0,1,1
O00291,A0336,L00291,R001,2025-07-20,2025-09-04,Closed Won,5706.0,1,1
O00292,A0371,L00292,R004,2026-05-03,,Prospecting,13804.0,0,0
O00293,A0361,L00293,R011,2025-03-30,2025-07-23,Closed Lost,14710.0,1,0
O00294,A0369,L00294,R004,2026-03-11,,Negotiation,19252.0,0,0
O00295,A0228,L00295,R007,2026-02-07,2026-03-23,Closed Lost,11346.0,1,0
O00296,A0030,L00296,R002,2024-10-23,2025-01-04,Closed Lost,7236.0,1,0
O00297,A0319,L00297,R017,2024-12-22,2025-03-22,Closed Lost,15019.0,1,0
O00298,A0245,L00298,R011,2026-04-06,,Prospecting,8546.0,0,0
O00299,A0124,L999929,R008,2024-09-30,2025-01-03,Closed Won,41449.0,1,1
O00300,A0367,L00300,R001,2024-08-09,2024-10-29,Closed Lost,53044.0,1,0
O00301,A0475,L00301,R007,2024-05-17,2024-06-17,Closed Won,114789.0,1,1
O00302,A0292,L00302,R009,2025-06-20,2025-10-08,Closed Won,199233.0,1,1
O00303,A0431,L00303,R007,2024-06-03,2024-08-29,Closed Lost,6158.0,1,0
O00304,A0288,L00304,R015,2024-06-26,2024-08-27,Closed Won,33575.0,1,1
O00305,A0183,L00305,R001,2025-11-24,2026-03-06,Closed Won,60575.0,1,1
O00306,A0270,L00306,R009,2026-05-15,,Qualification,15633.0,0,0
O00307,A0252,L00307,R005,2025-08-07,2025-10-10,Closed Won,11929.0,1,1
O00308,A0413,L00308,R006,2024-07-07,2024-10-21,Closed Lost,78946.0,1,0
O00309,A0090,L00309,R002,2024-09-29,2025-01-16,Closed Won,6260.0,1,1
O00310,A0209,L00310,R010,2025-07-05,2025-09-07,Closed Won,64721.0,1,1
O00311,A0401,L00311,R018,2025-12-14,2026-02-24,Closed Lost,18679.0,1,0
O00312,A0349,L00312,R010,2024-09-13,2024-12-14,Closed Lost,75175.0,1,0
O00313,A0145,L00313,R001,2024-10-18,2025-01-04,Closed Won,75411.0,1,1
O00314,A0420,L00314,R017,2026-03-22,,Qualification,16351.0,0,0
O00315,A0064,L00315,R007,2024-06-05,2024-09-23,Closed Won,9266.0,1,1
O00316,A0082,L00316,R003,2024-09-26,2024-12-18,Closed Won,39763.0,1,1
O00317,A0254,L00317,R013,2025-12-09,2026-02-04,Closed Lost,15604.0,1,0
O00318,A0170,L00318,R014,2026-03-19,,Prospecting,6840.0,0,0
O00319,A0309,L00319,R009,2026-01-13,2026-02-09,Closed Won,34441.0,1,1
O00320,A0098,L00320,R010,2024-07-29,2024-11-11,Closed Lost,25478.0,1,0
O00321,A0334,L00321,R003,2026-04-18,,Negotiation,11513.0,0,0
O00322,A0281,L00322,R014,2025-07-28,2025-10-09,Closed Lost,34135.0,1,0
O00323,A0449,L00323,R016,2024-11-29,2025-01-06,Closed Lost,7286.0,1,0
O00324,A0467,L00324,R014,2026-02-14,2026-04-27,Closed Won,58710.0,1,1
